37
107.95707	-603.33901	-755.80984
104.71734	-603.33822	-748.08433
105.77446	-603.34041	-739.77541
110.84158	-603.33804	-733.10224
118.5662	-603.3382	-729.86462
126.875	-603.33874	-730.91996
133.54272	-603.34002	-735.98988
136.784	-603.33729	-743.71306
135.72911	-603.33837	-752.0222
130.66066	-603.33865	-758.69101
122.93605	-603.33899	-761.93149
114.62355	-603.33914	-760.87404
110.28308	-600.85631	-754.00231
107.63262	-600.85328	-747.68642
108.49583	-600.85468	-740.88702
112.64209	-600.85815	-735.42921
118.96287	-600.85659	-732.7792
125.76145	-600.85769	-733.64117
131.22017	-600.85521	-737.79267
133.87083	-600.85724	-744.11009
133.00727	-600.85893	-750.9101
128.86025	-600.85725	-756.36672
122.53834	-600.85799	-759.01773
115.7408	-600.86012	-758.15235
113.83497	-598.37786	-751.25102
112.08515	-598.37712	-747.07921
112.65324	-598.37413	-742.58764
115.39527	-598.3775	-738.98412
119.56693	-598.37861	-737.23365
124.06075	-598.37711	-737.80292
127.66519	-598.37712	-740.54259
129.41445	-598.37623	-744.71679
128.84486	-598.3769	-749.20922
126.10635	-598.37795	-752.81372
121.93209	-598.37568	-754.56406
117.4434	-598.38031	-753.99267
120.75136	-596.64764	-745.89565
